22 agosto 2018,30,Buono eh... ma caro come il fuoco!,"Premesso che sono cliente abituale da mesi (normalmente colazione e/o pranzo almeno una volta alla settimana) rimango stupita ogni volta dal conto salato dopo aver gustato quattro foglie di insalata e una esigua fettina di salmone o due code di gambero. Il servizio al tavolo lascia parecchio a desiderare mentre in cassa o al bancone sono decisamente più efficienti e cortesi. Il pane è squisito ed anche i piatti un po’ più elaborati niente male. Piacevole il dehors, soprattutto la mattina. L’aperitivo è gremito e il servizio peggiora decisamente come anche la qualità degli stuzzichini. Che dire? Continuo a frequentarlo nonostante gli aspetti negativi perché mi piace il posto e non ho trovato ancora alternative valide in zona..."
20 giugno 2018,30,Peccato per..,"La location mi è piaciuta molto, sono stata sia a pranzo che la sera per un aperitivo.. lo consiglio per colazione o per un semplice drink.. attenzione eh sulla qualità del prodotto non si discute ma ho trovato all’aperitivo un buffet un po’ povero.. peccato perché ha un ottimo potenziale"
17 giugno 2018,10,Per me è un no,"Orario aperitivo serale domenicale. Ci sediamo ad un tavolo e dobbiamo pietre un menu ad un cameriere visibilmente scocciato. Chiediamo un Bloody Mary e un succo di pomodoro ma ahimè, il pomodoro è finito ....che dire , manco al baretto della stazione ferroviaria dei paesini... che tristezza.... mai più"
13 giugno 2018,10,Sconsiglio,"Sconsiglio fortemente di frequentare il locale, prezzi alle stelle, personale scontroso e lento. Drink costosissimi e fatti frettolosamente. Interni carini ma con pochi posti a sedere come anche la parte esterna"
10 giugno 2018,10,Dove e la cortesia per il cliente?,"Ci siamo accomodati in questo locale per un breve aperitivo. A Milano l’aperitivo (drink) è accompagnato da stuzzichini a volte anche abbondanti come una vera cena. Qui invece solo 2 carote e un po’ di riso bianco con condiriso. Abbiamo chiesto al cameriere se ci fosse qualcosa dalla cucina anche pagando: siamo stati trattati come se fossimo dei suini in cerca di cibo a badilate. Abbiamo salutato e liberato il tavolo per i prossimi clienti da spennare. Milano ha tanti locali, e noi cerchiamo qualità e cortesia."
8 giugno 2018,30,un bel bar ristorante ma ...,"Un bel bar ristorante, molto ben frequentato, proprio sulla Piazza del Tricolore. Piatti creativi e buoni, una insalata di gamberi su un letto di avocado, finocchi e pompelmo. Peccato che ci siano molte pecche nel servizio, impossibile da guardare che dalla cucina esca il piatto con all'interno, poggiato sul bordo interno, il conto. Prezzi in linea con la zona, 21 euro per il piatto che ho descritto ed acqua."
5 giugno 2018,20,Ma come lo fate il recruitment??,"Cameriera capelli neri con la treccia di una scortesia tale che boh...arrivo al bar molto carinamente saluto e lei mi fa con tono molto scocciato:""che fai mangi?"" Neanche il tempo di dire no grazie mi fa:""che vuoi...il caffè?"" Ancora nemmeno il tempo di dire no grazie mi fa:""allora che vuoi, dimmi?"" A quel punto non più carinamente dico vorrei sedermi fuori aspetto un amico. Mi fa accomodare su un tavolo sporco e mi dice ecco....boh! Io faccio questo lavoro e lo amo, se lo vuoi fare per passatempo o per guadagnare qualcosa fai a pulire i bagni!"
27 maggio 2018,30,Nella media,"Posto carino per bere qualcosa con gli amici, soprattutto se c’è una bella giornata. Il locale ha pochi posti a sedere e ha anche un dehors con spazi sacrificati ma comunque piacevole. Aperitivo poco variegato con molta pizza (buona), prezzi alti per quanto offerto"
23 maggio 2018,20,Che tristezza d'insalata,"Ho preso un'insalata greca, mi pare 12 euro, per avere un piatto davvero striminzito e deludente. Molto riducola la doppia domanda ""vuoi le cipolle?"" a cui ho risposto affermativamente due volte per poi trovarsi solo un anellino (solo uno!) nel piatto. Sconsiglio."
23 maggio 2018,30,un pranzo veloce,"Posizione degna di nota, pulizia e cordialità, il tutto inserito nel conto. Quando vai nel primo posto che trovi e vedi che è carino dovresti avere l'accortezza (che non ho avuto) di consultare SEMPRE il menù. Il posto è decisamente piacevole e il servizio buono, il locale sicuramente pulito. Acqua e caffè congrui alla media milanese, ma se solamente chiedi un piatto che non sia un toast scatta la tagliola dell'emulo di Mastrechef e paghi 16 euro un piattino di bocconcini di salmone. Concordo che a Milano ci siano spese elevate e quant'altro, ma quando si esagera si esagera. Gradito tutto ma al momento di pagare il conto sono rimasto di sale. Ognuno è libero di far pagare quel che vuole e la colpa è mia che non ho preventivamente guardato i prezzi, ma sei sei con un'altra persona e da galateo offri anche per lei finisce che paghi più di 40 euro per un piatto, un'acqua e un caffè. Mi sembra eccessivo. Liberi voi di far pagare quello che volete, libero io di avvisare i futuri avventori di leggere prima il menù"
19 maggio 2018,10,Non ci siamo!,Sono stata con un'amica dopo cena per bere un cocktail che non abbiamo neanche fatto in tempo ad assaggiare perché ci hanno chiesto 12 euro senza nemmeno due patatine di accompagnamento. Nulla! Alla nostra richiesta di spizzicare qualcosa ci hanno riaposto che di solito loro non danno nulla se non si arriva nell' orario dell aperitivo. Non esiste proprio. Ce ne siamo andate e non ci torneremo piu! Di locali buoni a Milano dove ti trattano come si deve ce ne sono a bizzeffe!
6 maggio 2018,10,Caro e vino scarsa qualità,Ho bevuto un vino (dicesi nebbiolo ma di chiara scarsa qualità) senza fare aperitivo Peraltro servito tardi e senza più alcun tipo di cibo a disposizione sul bancone.  Ho dovuto pagare per forza 9 euro. Ho raggiunto inoltre un gruppo di 10 persone che avevano consumato  Malissimo  Risposta alla domanda : ‘ perché devo pagare un bicchiere di vino 9 euro pur non avendo fatto L aperitivo ?  - ‘a milano funziona così ‘  Affianco c è una vineria buonissima  La prossima volta non avrò dubbi su dove andare
2 maggio 2018,10,SEMPLICEMENTE...PESSIMO,abito in zona e per fortuna è pieno di altri posticini carini! ho provato a frequentare questo locale a qualsiasi ora e purtroppo ho sempre trovato tantissima scortesia. personale maleducato e menefreghista. ho deciso che non ci metterò più piede. pochi giorni fa mi siedo al tavolo ordino la colazione e dopo 25 minuti la cameriera torna dicendo che erano finite le brioches... assurdo visto che tutte le persone arrivate dopo di me al banco hanno consumato le loro brioche.. faccio presente che non si può attendere quasi mezz'ora per avere un cappuccino e una brioche e che tutti i clienti serviti al banco hanno avuto il loro croissant e replica che lei ha consegnato la comanda ma che non sa altro e che non è affar suo. NO COMMENT
25 aprile 2018,20,Non particolarmente consigliato,Punto di riferimento per la zona. Personale non sempre cortesissimo. Cibo non consigliabile specie considerato il rapporto qualità/prezzo. Negli anni è andato peggiorando.
